"","State","clv","Response","Coverage","Education","EmploymentStatus","Gender","Income","Location_Code","Marital_Status","Monthly_Premium_Auto","Months_Since_Last_Claim","Months_Since_Policy_Inception","Number_of_Open_Complaints","Number_of_Policies","Policy_Type","Policy","Renew_Offer_Type","Sales_Channel","Total_Claim_Amount","Vehicle_Class","Vehicle_Size","pred"
"5601","Oregon",9101.523916,"No","Basic","College","Employed","M",48029,"Suburban","Divorced",116,9,79,0,7,"Personal Auto","Personal L2","Offer2","Agent",556.8,"SUV","Medsize",9069.21005672963
"5602","Arizona",7609.089616,"No","Basic","Bachelor","Disabled","M",16233,"Suburban","Married",197,17,68,0,1,"Personal Auto","Personal L1","Offer4","Web",1418.4,"Luxury Car","Medsize",10048.0372645773
"5603","Arizona",2668.662697,"No","Basic","College","Employed","M",30718,"Suburban","Married",67,26,49,1,1,"Personal Auto","Personal L3","Offer1","Call Center",321.6,"Two-Door Car","Medsize",5419.86919328603
"5604","Oregon",5141.976413,"No","Basic","High School or Below","Employed","M",60277,"Rural","Married",65,32,19,0,7,"Personal Auto","Personal L1","Offer3","Web",146.390518,"Four-Door Car","Medsize",6694.8232863687
"5605","California",7451.49202,"No","Basic","Bachelor","Unemployed","M",0,"Suburban","Single",107,6,63,0,8,"Personal Auto","Personal L3","Offer1","Agent",770.4,"SUV","Medsize",8906.44424745759
"5606","Arizona",2620.167098,"No","Basic","Bachelor","Employed","M",31911,"Urban","Single",68,13,65,0,1,"Personal Auto","Personal L3","Offer1","Branch",245.893663,"Four-Door Car","Medsize",5049.88697957339
"5607","Nevada",4909.844198,"No","Basic","Bachelor","Employed","F",61402,"Urban","Divorced",62,1,69,0,3,"Personal Auto","Personal L3","Offer1","Agent",252.157829,"Two-Door Car","Medsize",5875.65705827592
"5608","California",8023.075248,"No","Premium","College","Employed","F",34335,"Suburban","Married",101,18,55,0,3,"Corporate Auto","Corporate L2","Offer1","Call Center",484.8,"Two-Door Car","Small",7959.98230878895
"5609","Nevada",20446.6023,"No","Extended","College","Employed","M",71467,"Urban","Divorced",86,5,34,0,2,"Personal Auto","Personal L2","Offer3","Branch",324.879569,"Two-Door Car","Medsize",6534.90314012739
"5610","Washington",4966.848441,"No","Basic","College","Unemployed","M",0,"Suburban","Single",74,25,60,0,9,"Personal Auto","Personal L2","Offer1","Agent",532.8,"Four-Door Car","Medsize",7142.42327874015
"5612","Oregon",5350.367001,"No","Extended","College","Employed","F",58357,"Suburban","Single",137,27,76,2,1,"Personal Auto","Personal L2","Offer2","Call Center",708.220713,"Sports Car","Medsize",7519.73190798028
"5613","California",8065.234637,"No","Extended","College","Retired","M",29692,"Suburban","Divorced",77,3,53,0,2,"Personal Auto","Personal L2","Offer2","Branch",449.352139,"Four-Door Car","Medsize",5145.90188872998
"5615","Oregon",4540.9925,"No","Basic","High School or Below","Unemployed","F",0,"Suburban","Divorced",61,14,4,0,3,"Personal Auto","Personal L1","Offer2","Agent",486.121464,"Two-Door Car","Medsize",5011.54768423697
"5616","Washington",2852.527169,"No","Basic","High School or Below","Employed","M",26841,"Suburban","Married",74,33,17,1,1,"Personal Auto","Personal L3","Offer3","Agent",418.534381,"Four-Door Car","Medsize",5243.04256202109
"5617","Arizona",10720.41744,"No","Extended","Bachelor","Employed","F",34837,"Suburban","Single",139,4,2,1,4,"Personal Auto","Personal L3","Offer1","Branch",667.2,"SUV","Medsize",9892.94000470204
"5619","Washington",5182.393447,"No","Extended","College","Employed","F",44820,"Urban","Married",133,12,62,3,1,"Personal Auto","Personal L3","Offer1","Branch",336.13217,"Sports Car","Medsize",8053.79858433787
"5621","Arizona",2320.750557,"No","Basic","College","Medical Leave","M",19581,"Suburban","Married",61,32,27,0,1,"Personal Auto","Personal L1","Offer2","Call Center",377.24342,"Four-Door Car","Medsize",4197.73381444633
"5622","Oregon",7714.650119,"No","Basic","High School or Below","Unemployed","M",0,"Suburban","Single",74,33,24,0,2,"Corporate Auto","Corporate L2","Offer3","Agent",532.8,"Two-Door Car","Medsize",5236.90171862584
"5624","Washington",9029.940704,"No","Extended","Bachelor","Unemployed","M",0,"Suburban","Single",138,23,93,0,3,"Personal Auto","Personal L1","Offer1","Agent",1376.958592,"SUV","Small",8866.73189934264
"5626","Arizona",15114.40241,"Yes","Basic","High School or Below","Medical Leave","F",28513,"Suburban","Married",100,4,22,1,2,"Personal Auto","Personal L1","Offer2","Call Center",480,"SUV","Medsize",6744.4779791209
"5628","Oregon",10760.17612,"No","Extended","High School or Below","Employed","F",74835,"Rural","Married",133,14,89,0,7,"Corporate Auto","Corporate L2","Offer1","Branch",107.645982,"SUV","Medsize",10531.8095719668
"5631","Nevada",2220.187426,"No","Basic","College","Unemployed","M",0,"Suburban","Married",62,11,52,2,1,"Personal Auto","Personal L2","Offer1","Branch",311.506082,"Four-Door Car","Medsize",4421.65623544735
"5633","Oregon",2395.57,"Yes","Basic","Doctor","Disabled","F",21986,"Suburban","Divorced",63,1,9,0,1,"Personal Auto","Personal L3","Offer2","Branch",333.696228,"Two-Door Car","Medsize",4622.87678609406
"5634","Arizona",5522.524223,"No","Extended","Doctor","Employed","F",85609,"Suburban","Married",136,22,17,0,1,"Personal Auto","Personal L3","Offer2","Agent",652.8,"SUV","Medsize",8804.34100441889
"5635","Oregon",15808.75757,"No","Extended","College","Employed","M",86347,"Urban","Married",130,17,93,0,2,"Personal Auto","Personal L2","Offer1","Web",593.779554,"Sports Car","Medsize",8557.86843590159
"5636","Oregon",2827.328603,"No","Basic","College","Employed","F",20368,"Suburban","Single",72,30,36,0,1,"Corporate Auto","Corporate L3","Offer4","Branch",345.6,"Four-Door Car","Small",4360.88222363096
"5637","California",5421.524497,"No","Basic","Master","Employed","F",25778,"Rural","Divorced",68,29,34,0,3,"Corporate Auto","Corporate L2","Offer2","Call Center",20.141289,"Two-Door Car","Large",5577.46059008666
"5638","Nevada",2514.59196,"Yes","Basic","High School or Below","Employed","F",43860,"Rural","Single",65,15,58,0,1,"Corporate Auto","Corporate L3","Offer2","Agent",156.124914,"Four-Door Car","Medsize",4384.86892705826
"5639","Oregon",5157.642282,"No","Basic","College","Employed","M",93303,"Rural","Single",65,11,96,0,5,"Corporate Auto","Corporate L3","Offer1","Branch",40.757983,"Four-Door Car","Medsize",6097.90190458003
"5640","Oregon",4874.665223,"No","Basic","High School or Below","Employed","M",67467,"Suburban","Married",61,4,22,0,9,"Personal Auto","Personal L2","Offer4","Branch",365.879938,"Two-Door Car","Medsize",6739.254097357
"5641","Arizona",4198.02525,"No","Basic","High School or Below","Employed","M",30598,"Suburban","Married",106,13,21,0,1,"Personal Auto","Personal L2","Offer3","Agent",508.8,"SUV","Medsize",7360.33958703803
"5642","Arizona",5380.898636,"Yes","Basic","College","Employed","F",55350,"Suburban","Married",67,0,13,0,9,"Personal Auto","Personal L3","Offer1","Agent",321.6,"Four-Door Car","Medsize",7741.83222662396
"5643","California",13466.92071,"Yes","Basic","High School or Below","Disabled","F",11432,"Suburban","Married",119,11,9,0,2,"Corporate Auto","Corporate L3","Offer2","Agent",571.2,"SUV","Small",7750.67911841188
"5644","Oregon",2424.424678,"No","Basic","College","Employed","M",27093,"Suburban","Married",61,10,19,0,1,"Personal Auto","Personal L2","Offer3","Branch",292.8,"Four-Door Car","Medsize",4739.26363048469
"5645","Nevada",3823.853815,"No","Basic","Bachelor","Unemployed","M",0,"Suburban","Single",108,32,95,0,1,"Personal Auto","Personal L3","Offer1","Agent",777.6,"SUV","Medsize",6896.99765574743
"5649","Nevada",2840.302575,"No","Basic","Bachelor","Employed","M",79181,"Urban","Divorced",72,1,24,0,1,"Personal Auto","Personal L3","Offer2","Branch",241.277426,"Four-Door Car","Medsize",5234.77729117125
"5651","California",7596.143777,"No","Extended","College","Employed","M",56225,"Suburban","Divorced",97,10,95,0,3,"Personal Auto","Personal L2","Offer1","Agent",465.6,"Four-Door Car","Small",7148.03549670624
"5653","Nevada",6005.214792,"Yes","Extended","High School or Below","Employed","M",26876,"Suburban","Single",76,17,72,0,8,"Personal Auto","Personal L3","Offer1","Agent",364.8,"Four-Door Car","Medsize",7286.07520137567
"5654","Oregon",3455.23067,"No","Extended","College","Employed","M",68401,"Urban","Divorced",88,14,14,0,1,"Personal Auto","Personal L1","Offer2","Agent",242.254164,"Four-Door Car","Medsize",5992.94286134794
"5655","Nevada",5728.581037,"No","Basic","College","Employed","F",29730,"Suburban","Married",72,1,76,0,3,"Personal Auto","Personal L1","Offer3","Branch",463.21435,"Four-Door Car","Medsize",5553.90641845944
"5656","Oregon",5163.228365,"No","Extended","High School or Below","Employed","F",35577,"Urban","Married",130,1,6,0,1,"Personal Auto","Personal L3","Offer1","Branch",574.51239,"SUV","Medsize",8978.6704896308
"5657","California",2602.650842,"No","Basic","Master","Employed","M",41958,"Urban","Married",66,15,49,1,1,"Corporate Auto","Corporate L3","Offer4","Call Center",206.818326,"Four-Door Car","Small",4212.20738248711
"5659","Oregon",2789.74739,"No","Basic","Bachelor","Medical Leave","F",15514,"Suburban","Married",74,20,24,0,1,"Corporate Auto","Corporate L2","Offer4","Web",355.2,"Four-Door Car","Medsize",4445.66820200122
"5660","Nevada",11250.09857,"No","Premium","College","Employed","F",29505,"Suburban","Married",284,2,70,0,1,"Personal Auto","Personal L3","Offer2","Call Center",1979.444237,"Luxury Car","Small",15115.3986166837
"5661","California",16510.96722,"No","Basic","College","Employed","F",31356,"Suburban","Married",68,25,13,0,2,"Personal Auto","Personal L3","Offer2","Agent",326.4,"Two-Door Car","Small",5422.14953375005
"5662","California",7607.983712,"No","Basic","College","Employed","F",31456,"Rural","Single",199,5,61,0,1,"Personal Auto","Personal L3","Offer1","Branch",436.695385,"Luxury SUV","Medsize",11244.0900216564
"5664","Nevada",6674.44805,"No","Extended","High School or Below","Unemployed","M",0,"Suburban","Single",98,7,24,0,9,"Personal Auto","Personal L3","Offer2","Call Center",931.648937,"Two-Door Car","Medsize",8075.77122458465
"5665","Washington",4049.415027,"No","Premium","Bachelor","Employed","F",62864,"Rural","Single",104,20,14,0,1,"Personal Auto","Personal L2","Offer3","Agent",171.213743,"Two-Door Car","Small",7228.44766080463
"5666","Oregon",4958.016206,"No","Basic","College","Medical Leave","M",22842,"Suburban","Married",65,20,53,0,9,"Personal Auto","Personal L2","Offer1","Agent",468,"Four-Door Car","Medsize",7065.89021884432
"5667","California",7850.128057,"No","Basic","Bachelor","Employed","F",67186,"Urban","Single",66,22,20,0,2,"Personal Auto","Personal L2","Offer3","Branch",184.936711,"Four-Door Car","Small",5172.80325036458
"5668","Arizona",6382.583452,"No","Extended","High School or Below","Unemployed","M",0,"Suburban","Married",87,14,67,0,3,"Personal Auto","Personal L3","Offer2","Web",417.6,"Four-Door Car","Medsize",5710.75819175296
"5669","Oregon",5737.499595,"No","Basic","College","Employed","F",68946,"Urban","Married",71,15,31,0,8,"Personal Auto","Personal L1","Offer1","Call Center",309.627788,"Four-Door Car","Medsize",7628.35184834679
"5670","Oregon",7688.023506,"No","Basic","Bachelor","Employed","F",56680,"Suburban","Single",100,9,78,2,3,"Personal Auto","Personal L3","Offer1","Branch",480,"SUV","Medsize",7401.58058143452
"5671","Arizona",4873.436612,"No","Extended","High School or Below","Retired","F",18866,"Suburban","Married",126,4,62,0,1,"Personal Auto","Personal L2","Offer3","Call Center",604.8,"SUV","Medsize",7798.2942172505
"5672","California",2824.681217,"No","Basic","High School or Below","Employed","F",82875,"Suburban","Married",70,5,20,0,1,"Personal Auto","Personal L3","Offer2","Call Center",455.337179,"Four-Door Car","Small",5173.12208703588
"5673","Arizona",3722.368016,"No","Basic","College","Unemployed","F",0,"Suburban","Married",109,25,61,2,1,"Personal Auto","Personal L3","Offer3","Agent",523.2,"SUV","Medsize",6692.78230396905
"5674","California",5535.963648,"No","Extended","Bachelor","Employed","F",84863,"Suburban","Divorced",138,28,40,0,1,"Corporate Auto","Corporate L2","Offer4","Call Center",691.697458,"SUV","Large",8427.77741284802
"5675","California",4727.8341,"No","Extended","College","Unemployed","F",0,"Suburban","Married",127,24,58,0,1,"Personal Auto","Personal L2","Offer1","Agent",609.6,"SUV","Small",8188.82132394985
"5676","California",2378.667328,"No","Basic","Bachelor","Employed","M",54753,"Suburban","Single",61,5,99,0,1,"Personal Auto","Personal L2","Offer1","Agent",292.8,"Four-Door Car","Medsize",4653.58880222564
"5677","California",9337.895228,"No","Premium","College","Employed","F",76381,"Suburban","Married",116,23,33,0,4,"Special Auto","Special L2","Offer3","Branch",556.8,"Two-Door Car","Small",8805.97255745181
"5678","California",6189.994337,"No","Extended","Bachelor","Employed","M",59523,"Urban","Married",78,0,62,1,8,"Personal Auto","Personal L1","Offer1","Branch",343.789779,"Four-Door Car","Large",7662.77182499772
"5680","Arizona",5264.361755,"No","Basic","Master","Medical Leave","M",14306,"Urban","Divorced",74,31,22,3,7,"Corporate Auto","Corporate L2","Offer2","Agent",355.061143,"Four-Door Car","Medsize",6098.3573134053
"5681","Arizona",4035.68383,"No","Basic","Bachelor","Employed","F",21359,"Suburban","Married",101,25,5,0,1,"Personal Auto","Personal L3","Offer4","Agent",484.8,"Sports Car","Medsize",6100.75685756544
"5682","Arizona",4117.4697,"No","Basic","Bachelor","Employed","F",86101,"Urban","Married",102,4,73,0,1,"Personal Auto","Personal L1","Offer1","Agent",344.736945,"SUV","Medsize",7549.29187513628
"5683","Washington",8382.478392,"Yes","Basic","Bachelor","Employed","M",25998,"Suburban","Married",71,16,38,0,2,"Personal Auto","Personal L2","Offer2","Call Center",791.878042,"Four-Door Car","Medsize",5189.32793888882
"5685","California",6599.081932,"No","Premium","High School or Below","Employed","F",36060,"Urban","Married",165,27,55,0,1,"Special Auto","Special L3","Offer2","Call Center",774.558233,"Sports Car","Medsize",9597.6154101258
"5686","Oregon",5353.932122,"No","Basic","High School or Below","Employed","M",61894,"Urban","Married",67,22,38,0,4,"Personal Auto","Personal L3","Offer3","Branch",266.996814,"Four-Door Car","Small",5889.90841476308
"5689","Washington",5512.342258,"No","Extended","Master","Employed","M",45971,"Rural","Married",138,15,91,0,1,"Special Auto","Special L3","Offer1","Branch",139.826393,"SUV","Medsize",9008.38105928826
"5691","Arizona",7772.473464,"No","Extended","College","Employed","M",58345,"Urban","Married",98,1,6,0,6,"Personal Auto","Personal L1","Offer1","Branch",346.971517,"Four-Door Car","Small",8428.57797423483
"5693","Oregon",10507.50144,"No","Extended","Bachelor","Employed","M",76549,"Urban","Married",132,3,5,0,3,"Personal Auto","Personal L3","Offer2","Agent",616.349424,"SUV","Medsize",9181.03895784139
"5695","California",9103.700091,"No","Extended","Bachelor","Unemployed","F",0,"Suburban","Single",131,18,41,0,3,"Personal Auto","Personal L2","Offer2","Branch",628.8,"Sports Car","Medsize",7677.52445888413
"5699","California",2627.610202,"No","Basic","Bachelor","Employed","F",94962,"Suburban","Married",67,10,48,4,1,"Personal Auto","Personal L2","Offer2","Agent",321.6,"Two-Door Car","Large",4720.49818919031
"5700","Oregon",9095.744565,"No","Premium","High School or Below","Unemployed","F",0,"Suburban","Single",256,30,32,0,1,"Personal Auto","Personal L3","Offer3","Agent",1943.772393,"Luxury Car","Medsize",13557.7002508478
"5701","California",5015.643575,"No","Extended","College","Employed","F",73809,"Urban","Married",125,5,57,0,1,"Special Auto","Special L1","Offer1","Branch",537.315879,"SUV","Medsize",8659.06380002217
"5702","Oregon",4726.869327,"Yes","Extended","Bachelor","Medical Leave","F",13037,"Suburban","Married",124,28,49,0,1,"Personal Auto","Personal L1","Offer2","Agent",839.348464,"SUV","Small",7537.17526662696
"5703","California",3059.182181,"No","Extended","High School or Below","Unemployed","M",0,"Suburban","Single",88,5,85,0,1,"Personal Auto","Personal L2","Offer1","Branch",989.200247,"Four-Door Car","Medsize",5505.06128322541
"5705","Arizona",2620.903729,"No","Basic","Master","Employed","F",39278,"Rural","Divorced",66,29,45,0,1,"Personal Auto","Personal L2","Offer4","Branch",65.590217,"Four-Door Car","Medsize",4337.44850127315
"5707","California",4691.043597,"No","Basic","Bachelor","Unemployed","M",0,"Suburban","Single",74,19,11,1,3,"Personal Auto","Personal L3","Offer2","Agent",407.218947,"Four-Door Car","Medsize",5009.05151492498
"5710","Washington",2254.402024,"No","Basic","Bachelor","Unemployed","F",0,"Suburban","Single",65,3,95,1,1,"Personal Auto","Personal L3","Offer1","Branch",768.797656,"Four-Door Car","Medsize",4257.34367204336
"5712","Arizona",8123.955566,"No","Basic","Doctor","Medical Leave","M",12617,"Suburban","Divorced",108,5,43,0,8,"Personal Auto","Personal L3","Offer1","Branch",648.925597,"SUV","Medsize",9320.98792415481
"5713","Oregon",19079.09518,"No","Basic","High School or Below","Employed","F",42754,"Urban","Divorced",65,5,56,4,2,"Personal Auto","Personal L3","Offer3","Agent",279.715067,"Two-Door Car","Medsize",4862.5178099244
"5715","California",4669.22664,"Yes","Premium","High School or Below","Employed","F",76157,"Suburban","Married",116,15,80,0,1,"Personal Auto","Personal L3","Offer2","Call Center",556.8,"Two-Door Car","Small",7568.29720459042
"5718","Oregon",8009.028202,"No","Basic","Bachelor","Unemployed","F",0,"Suburban","Married",107,5,8,0,3,"Personal Auto","Personal L3","Offer2","Web",740.963933,"SUV","Small",7417.71570471053
"5722","California",5923.518828,"No","Basic","Bachelor","Employed","M",73758,"Urban","Married",74,24,87,0,7,"Personal Auto","Personal L2","Offer3","Branch",301.562622,"Four-Door Car","Medsize",6861.33879553636
"5723","California",3833.066768,"No","Basic","High School or Below","Unemployed","F",0,"Suburban","Divorced",116,34,82,2,1,"Personal Auto","Personal L2","Offer1","Agent",1397.954723,"Sports Car","Medsize",6831.22932582416
"5725","Washington",5553.756551,"No","Extended","College","Unemployed","F",0,"Suburban","Single",92,30,64,3,9,"Personal Auto","Personal L3","Offer1","Branch",662.4,"Four-Door Car","Medsize",7620.73102470024
"5726","Oregon",10036.53634,"No","Extended","High School or Below","Unemployed","F",0,"Suburban","Single",134,15,92,1,8,"Personal Auto","Personal L3","Offer1","Call Center",1353.28906,"SUV","Medsize",9929.88798419997
"5727","Arizona",6575.53817,"No","Extended","Bachelor","Disabled","M",10517,"Urban","Single",92,14,65,0,3,"Personal Auto","Personal L1","Offer1","Agent",441.540848,"Four-Door Car","Medsize",6371.85820685774
"5728","California",4362.931238,"Yes","Premium","College","Employed","M",58842,"Suburban","Married",110,6,74,0,1,"Personal Auto","Personal L2","Offer2","Branch",528,"Four-Door Car","Medsize",7005.97616595229
"5729","California",7873.708219,"No","Basic","College","Employed","M",22355,"Suburban","Married",71,27,9,3,2,"Personal Auto","Personal L2","Offer2","Branch",340.8,"Four-Door Car","Medsize",4955.2515432035
"5730","Washington",13021.0853,"No","Extended","High School or Below","Unemployed","F",0,"Suburban","Single",223,26,40,5,7,"Personal Auto","Personal L2","Offer1","Call Center",1605.6,"Luxury Car","Medsize",13127.3077328683
"5731","Arizona",4492.23348,"No","Basic","Bachelor","Medical Leave","F",21137,"Suburban","Single",61,29,62,1,6,"Personal Auto","Personal L1","Offer2","Web",292.8,"Four-Door Car","Medsize",5064.33383150823
"5732","Oregon",6650.456653,"No","Extended","Bachelor","Unemployed","F",0,"Suburban","Single",99,16,65,2,3,"Personal Auto","Personal L1","Offer2","Branch",712.8,"Four-Door Car","Small",5824.04090532111
"5733","California",11093.71591,"No","Extended","High School or Below","Employed","M",78255,"Suburban","Single",95,14,88,0,2,"Personal Auto","Personal L3","Offer4","Branch",456,"Four-Door Car","Small",5706.68105677524
"5734","Arizona",5107.163002,"Yes","Basic","Bachelor","Employed","F",35625,"Urban","Married",65,10,56,1,3,"Special Auto","Special L1","Offer2","Agent",288.572108,"Four-Door Car","Medsize",5017.22935789036
"5736","Oregon",4996.564694,"No","Basic","College","Employed","F",25915,"Suburban","Single",64,13,62,0,7,"Corporate Auto","Corporate L3","Offer1","Agent",317.979988,"Two-Door Car","Medsize",6728.43007902584
"5737","California",8658.863813,"Yes","Basic","College","Employed","M",62464,"Urban","Married",109,23,45,0,4,"Corporate Auto","Corporate L1","Offer2","Agent",400.181882,"Sports Car","Medsize",7637.37938524655
"5738","California",9657.579498,"Yes","Extended","High School or Below","Unemployed","M",0,"Suburban","Married",131,34,61,0,9,"Corporate Auto","Corporate L3","Offer1","Agent",628.8,"SUV","Medsize",10547.1949216505
"5739","California",6176.700392,"No","Extended","High School or Below","Employed","M",49529,"Urban","Married",78,4,78,0,3,"Personal Auto","Personal L2","Offer4","Agent",234.723464,"Two-Door Car","Medsize",5577.7735939781
"5740","California",2867.312197,"Yes","Extended","Bachelor","Retired","F",23376,"Suburban","Divorced",78,19,18,0,1,"Personal Auto","Personal L3","Offer2","Call Center",374.4,"Four-Door Car","Medsize",5055.30431395751
"5741","California",2821.448707,"No","Extended","College","Unemployed","M",0,"Suburban","Single",81,21,78,0,1,"Personal Auto","Personal L1","Offer3","Call Center",583.2,"Four-Door Car","Medsize",4808.26783811743
"5742","Arizona",2843.557702,"No","Basic","College","Employed","M",67952,"Rural","Married",71,16,0,0,1,"Personal Auto","Personal L3","Offer4","Branch",167.405624,"Two-Door Car","Medsize",5129.72971123167
"5744","Arizona",7785.666532,"No","Basic","High School or Below","Employed","F",20497,"Suburban","Married",65,17,94,0,2,"Personal Auto","Personal L2","Offer4","Branch",425.358596,"Four-Door Car","Small",4266.30239852893
"5745","California",12315.09489,"No","Premium","High School or Below","Employed","M",68420,"Suburban","Married",104,5,27,1,2,"Personal Auto","Personal L2","Offer2","Branch",499.2,"Four-Door Car","Medsize",7130.44563173052
"5746","Arizona",4810.97858,"No","Extended","College","Employed","F",24711,"Rural","Married",122,31,93,0,1,"Personal Auto","Personal L3","Offer3","Agent",259.998169,"Sports Car","Small",7268.77568790651
"5748","California",3980.421464,"No","Extended","High School or Below","Employed","M",98333,"Urban","Married",99,16,69,1,1,"Personal Auto","Personal L3","Offer1","Branch",459.048775,"Four-Door Car","Medsize",6861.90450379033
"5749","California",14635.45158,"Yes","Extended","Bachelor","Unemployed","F",0,"Suburban","Divorced",139,5,56,0,2,"Personal Auto","Personal L3","Offer1","Call Center",667.2,"SUV","Medsize",9036.77959154357
"5750","Oregon",3761.792015,"No","Premium","College","Unemployed","F",0,"Suburban","Single",106,25,47,1,1,"Personal Auto","Personal L3","Offer1","Web",1116.943654,"Four-Door Car","Small",6696.71824929121
"5751","Nevada",5619.689084,"Yes","Premium","High School or Below","Unemployed","M",0,"Suburban","Married",153,25,5,0,1,"Personal Auto","Personal L2","Offer2","Web",1027.000029,"SUV","Medsize",9341.57292580975
"5753","Oregon",3207.468733,"No","Extended","Bachelor","Employed","M",24695,"Suburban","Married",82,0,88,0,1,"Personal Auto","Personal L3","Offer3","Web",393.6,"Four-Door Car","Large",5405.21590019068
"5755","California",8717.049833,"Yes","Basic","College","Employed","M",83846,"Suburban","Married",74,22,94,3,2,"Personal Auto","Personal L2","Offer2","Agent",355.2,"Four-Door Car","Large",4948.34400287333
"5756","Washington",8029.715047,"No","Basic","High School or Below","Employed","F",76081,"Suburban","Single",68,14,3,0,2,"Personal Auto","Personal L2","Offer2","Branch",384.210821,"Four-Door Car","Medsize",5175.97201746905
"5757","Oregon",4763.327142,"No","Basic","College","Disabled","M",14957,"Suburban","Single",66,24,68,0,8,"Corporate Auto","Corporate L3","Offer1","Branch",316.8,"Four-Door Car","Small",6514.00570877806
"5760","Washington",8409.668976,"No","Basic","College","Employed","F",53986,"Rural","Married",70,22,37,1,2,"Corporate Auto","Corporate L3","Offer1","Branch",127.886591,"Four-Door Car","Medsize",5740.48382521724
"5761","Oregon",4257.477861,"No","Premium","Bachelor","Employed","F",49853,"Suburban","Single",109,17,47,0,1,"Personal Auto","Personal L3","Offer1","Branch",679.534284,"Four-Door Car","Medsize",7422.23250040608
"5762","Oregon",14708.99565,"No","Basic","High School or Below","Employed","M",36670,"Suburban","Single",189,30,44,0,3,"Corporate Auto","Corporate L3","Offer1","Branch",907.2,"Luxury Car","Medsize",11416.3058882349
"5763","Nevada",2593.818427,"No","Basic","Bachelor","Employed","M",43626,"Suburban","Divorced",67,9,80,0,1,"Personal Auto","Personal L3","Offer4","Call Center",321.6,"Two-Door Car","Small",4481.03426452229
"5764","Washington",2466.581354,"No","Basic","High School or Below","Unemployed","F",0,"Suburban","Single",70,6,18,0,1,"Special Auto","Special L1","Offer1","Branch",504,"Four-Door Car","Small",4962.10510824222
"5769","Oregon",18726.15325,"No","Premium","High School or Below","Unemployed","F",0,"Suburban","Single",185,7,47,2,2,"Personal Auto","Personal L1","Offer1","Agent",1543.932434,"SUV","Medsize",11072.1435256586
"5770","California",7249.065093,"No","Extended","Bachelor","Employed","F",37751,"Rural","Single",93,15,42,0,3,"Corporate Auto","Corporate L3","Offer1","Agent",56.692777,"Four-Door Car","Medsize",6902.47050261239
"5771","Oregon",8193.091589,"No","Basic","College","Employed","F",54840,"Suburban","Single",72,18,59,3,2,"Corporate Auto","Corporate L3","Offer1","Branch",468.728516,"Four-Door Car","Small",5275.94154033706
"5774","California",14084.48944,"No","Extended","Bachelor","Unemployed","M",0,"Suburban","Single",208,22,92,0,3,"Corporate Auto","Corporate L1","Offer2","Agent",2270.508697,"Luxury Car","Medsize",11075.8584478317
"5775","California",13104.14911,"No","Extended","High School or Below","Unemployed","M",0,"Suburban","Single",130,7,31,0,2,"Personal Auto","Personal L3","Offer1","Agent",1430.548077,"Sports Car","Medsize",8005.17056687255
"5777","Oregon",5245.683756,"No","Basic","Master","Employed","F",46061,"Rural","Married",65,23,95,0,3,"Personal Auto","Personal L3","Offer3","Branch",21.612658,"Two-Door Car","Large",5439.9844471818
"5780","Washington",5445.373289,"No","Extended","High School or Below","Medical Leave","F",20282,"Suburban","Divorced",79,19,8,3,6,"Personal Auto","Personal L2","Offer1","Agent",507.549315,"Two-Door Car","Medsize",6989.78107155521
"5783","California",5408.892351,"No","Extended","Bachelor","Employed","F",20472,"Suburban","Single",139,34,61,0,1,"Corporate Auto","Corporate L3","Offer1","Agent",667.2,"SUV","Medsize",8866.2166913659
"5784","Oregon",3768.371028,"No","Extended","Master","Employed","F",85751,"Urban","Married",93,6,3,0,1,"Corporate Auto","Corporate L3","Offer2","Agent",391.210704,"Four-Door Car","Medsize",6346.58333519518
"5786","Arizona",3887.324208,"No","Extended","Master","Employed","M",96335,"Rural","Single",97,7,43,0,1,"Personal Auto","Personal L3","Offer1","Branch",161.388136,"Four-Door Car","Small",6769.03438707909
"5787","Washington",7475.784971,"No","Basic","Bachelor","Disabled","F",29633,"Urban","Married",196,26,57,0,1,"Corporate Auto","Corporate L3","Offer1","Agent",534.653787,"Luxury Car","Medsize",11068.3758051496
"5790","Washington",4900.336708,"No","Basic","Bachelor","Unemployed","F",0,"Suburban","Married",66,35,75,0,4,"Personal Auto","Personal L3","Offer2","Agent",316.8,"Four-Door Car","Small",4956.84306384094
"5791","Oregon",5278.6471,"No","Basic","Master","Employed","F",29899,"Suburban","Married",66,21,31,0,3,"Personal Auto","Personal L3","Offer2","Agent",419.302975,"Four-Door Car","Small",5273.63150770262
"5793","Nevada",8044.872393,"Yes","Basic","Bachelor","Employed","M",71391,"Urban","Married",67,29,39,0,2,"Personal Auto","Personal L2","Offer2","Agent",284.000172,"Four-Door Car","Medsize",5173.06863943031
"5794","Arizona",12157.32992,"Yes","Premium","High School or Below","Employed","M",57449,"Suburban","Single",103,6,28,0,2,"Personal Auto","Personal L2","Offer1","Agent",494.4,"Four-Door Car","Medsize",7528.56707920251
"5795","California",18591.54967,"No","Basic","High School or Below","Disabled","M",14209,"Suburban","Married",62,34,36,0,2,"Personal Auto","Personal L3","Offer3","Web",297.6,"Four-Door Car","Medsize",4659.22573040056
